Country,Gini,Poverty,GDP,Agriculture
Argentina,41.3,0.8,11795.15939,39.60322861
Armenia,34.4,1.0,4391.923697,58.914647
Austria,30.8,0.6,51466.55656,32.14772176
Belgium,27.2,0.1,47544.98115,44.71598415
Brazil,53.9,5.4,9121.083403,28.34109036
Bulgaria,41.3,0.9,9446.717094,46.33382461
China,38.5,0.1,9905.342004,56.07706743
Colombia,50.4,5.3,6782.03792,44.60748085
Costa Rica,48,1.1,12383.14997,34.90990991
Cote d'Ivoire,37.2,2.4,2275.49595,66.66666667
Croatia,29.7,0.3,15244.43105,26.51704667
Cyprus,32.7,0.2,29418.93555,14.27345238
Czechia,25,0.0,23424.48046,45.62880456
Denmark,28.2,0.3,61591.92887,65.8125
Dominican Republic,43.7,0.8,7947.158207,50.27944525
Ecuador,45.4,3.6,6321.349401,21.9358995
El Salvador,38.6,1.4,4145.862351,57.70752896
Estonia,30.3,0.6,23165.84948,23.04093567
Finland,27.3,0.0,49987.62616,7.475651487
Georgia,36.4,4.8,4722.042423,34.16606706
Greece,32.9,0.7,19756.99046,46.11086424
Honduras,48.9,12.7,2457.688921,31.37903298
Hungary,29.6,0.3,16425.1013,58.03199649
India,34.6,10.0,1974.377788,60.24356466
Indonesia,38.4,4.4,3902.661668,33.18208764
"Iran, Islamic Rep.",42,1.1,3873.99534,28.91525424
Kyrgyz Republic,27.7,0.7,1308.140165,54.07090719
Latvia,35.1,0.2,17865.03109,31.14403715
Lithuania,35.7,0.5,19186.35959,47.05412741
Malta,28.7,0.3,31567.94224,32.4375
Netherlands,28.1,0.1,53044.53244,54.11345411
Norway,27.6,0.2,82267.80932,2.701337686
Panama,49.2,1.0,15588.33733,29.56322459
Paraguay,46,1.0,6242.961454,42.30339794
Peru,42.4,3.0,6912.110297,19.29577266
Portugal,33.5,0.1,23562.55452,40.49924677
Romania,35.8,2.2,12494.47747,58.30146036
Serbia,35,2.3,7252.401858,39.8696547
Slovak Republic,25,0.1,19486.39368,39.28868552
Slovenia,24.6,0.0,26123.74713,30.39272164
Spain,34.7,0.8,30379.72111,52.40820971
Sweden,30,0.3,54589.06039,7.36634329
Thailand,36.4,0.1,7124.564544,44.6475758
Turkiye,41.9,0.4,9400.778214,49.11710822
Uganda,57.2,42.2,883.89,71.89102
Ukraine,26.1,0.0,3096.561768,71.33068692
United States,41.4,1.0,62823.30944,44.36336735
Uruguay,39.7,0.1,18825.28381,81.08101931
Zimbabwe,50.3,39.8,1773.92,42.88039
