Country Name,Total Greenhouse Gas Emissions (kilotons),Gini Coefficient,GDP Per Capita (Current US$),Agricultural land (% of land area)
Angola,23959.99908,51.3,2487.500996,45.68259405
Albania,5110.000134,30.1,5287.663694,42.84967153
United Arab Emirates,177119.9951,26,46722.26872,5.375246409
Argentina,176899.9939,41.3,11795.15939,39.60322861
Armenia,5710.000038,34.4,4391.923697,58.914647
Australia,387070.0073,34.3,57207.87151,46.65809501
Austria,63060.00137,30.8,51466.55656,32.14772176
Belgium,93660.00366,27.2,47544.98115,44.71598415
Benin,7420.000076,37.8,1194.438214,35.03015254
Burkina Faso,4670.000076,47.3,779.2027097,44.38230994
Bulgaria,40900.00153,41.3,9446.717094,46.33382461
Belarus,58950.00076,25.2,6360.062473,41.64449699
Bolivia,23229.99954,42.6,3471.006951,34.82599465
Brazil,433989.9902,53.9,9121.083403,28.34109036
Switzerland,37479.99954,33.1,85217.36915,38.21425381
China,10502929.69,38.5,9905.342004,56.07706743
Cote d'Ivoire,10189.99958,37.2,2275.49595,66.66666667
Colombia,78589.99634,50.4,6782.03792,44.60748085
Costa Rica,8369.999886,48,12383.14997,34.90990991
Cyprus,7199.999809,32.7,29418.93555,14.27345238
Czechia,100900.0015,25,23424.48046,45.62880456
Germany,707700.0122,31.7,47939.27829,47.64153644
Denmark,33130.00107,28.2,61591.92887,65.8125
Dominican Republic,25309.99947,43.7,7947.158207,50.27944525
Ecuador,40139.99939,45.4,6321.349401,21.9358995
Spain,257040.0085,34.7,30379.72111,52.40820971
Estonia,15319.99969,30.3,23165.84948,23.04093567
Finland,44580.00183,27.3,49987.62616,7.475651487
France,307049.9878,32.4,41557.85486,52.34176533
Georgia,9569.999695,36.4,4722.042423,34.16606706
Guinea,3750,29.6,944.4172662,59.01025558
Guinea-Bissau,319.9999928,34.8,781.6443091,28.98684211
Greece,65019.99664,32.9,19756.99046,46.11086424
Honduras,10050.00019,48.9,2457.688921,31.37903298
Croatia,16430.00031,29.7,15244.43105,26.51704667
Hungary,46400.00153,29.6,16425.1013,58.03199649
Indonesia,576989.9902,38.4,3902.661668,33.18208764
India,2451929.932,34.6,1974.377788,60.24356466
Ireland,37659.99985,30.6,79250.38785,65.55378139
"Iran, Islamic Rep.",637429.9927,42,3873.99534,28.91525424
Israel,61080.00183,38.6,42406.84543,29.6349353
Italy,324880.0049,35.2,34622.16967,41.94874847
Kazakhstan,216600.0061,27.8,9812.626371,80.02226173
Kyrgyz Republic,11250,27.7,1308.140165,54.07090719
Lao PDR,19360.00061,38.8,2553.361866,9.448873484
Lithuania,11649.99962,35.7,19186.35959,47.05412741
Luxembourg,9319.999695,35.4,116786.5117,51.10159024
Latvia,7789.999962,35.1,17865.03109,31.14403715
Moldova,8539.999962,25.7,4232.206888,68.63553016
Mexico,452570.0073,46.7,9857.028829,49.64942514
North Macedonia,7300.000191,33,6108.740108,50.11895321
Mali,5469.99979,36.1,856.3565318,33.76605283
Malta,1549.999952,28.7,31567.94224,32.4375
Montenegro,2500,36.8,8850.092733,19.0929368
Mongolia,21549.99924,32.7,4165.022739,72.8416348
Niger,1950.000048,37.3,567.3308067,36.78613721
Nigeria,109889.9994,35.1,2125.834282,75.8956158
Netherlands,151360.0006,28.1,53044.53244,54.11345411
Norway,37590.00015,27.6,82267.80932,2.701337686
Pakistan,187309.9976,29.6,1620.742857,47.93612495
Panama,10060.00042,49.2,15588.33733,29.56322459
Peru,54590.00015,42.4,6912.110297,19.29577266
Philippines,138570.0073,42.3,3194.674521,42.30472549
Poland,311910.0037,30.2,15504.58048,47.3985041
Portugal,49500,33.5,23562.55452,40.49924677
Paraguay,8470.000267,46,6242.961454,42.30339794
Romania,75190.00244,35.8,12494.47747,58.30146036
Russian Federation,1661000,37.5,11287.36035,13.15843626
Senegal,10180.00031,38.1,1484.239673,46.11229419
Sierra Leone,860.0000143,35.7,519.6500156,54.71044611
El Salvador,6809.999943,38.6,4145.862351,57.70752896
Serbia,46130.00107,35,7252.401858,39.8696547
Slovak Republic,33000,25,19486.39368,39.28868552
Slovenia,14069.99969,24.6,26123.74713,30.39272164
Sweden,36009.99832,30,54589.06039,7.36634329
Seychelles,579.9999833,32.1,16910.68818,3.369565217
Chad,2190.000057,37.5,720.265047,39.89675985
Togo,2309.999943,42.4,883.8678323,70.2334988
Thailand,257049.9878,36.4,7124.564544,44.6475758
Turkiye,411730.011,41.9,9400.778214,49.11710822
Tanzania,12000,40.5,1010.937622,44.13795439
Ukraine,185619.9951,26.1,3096.561768,71.33068692
Uruguay,6539.999962,39.7,18825.28381,81.08101931
United States,4975310.059,41.4,62823.30944,44.36336735
Vietnam,285600.0061,35.7,3267.225009,38.73445023
