Borough,Total CO2 Emissions
Barking and Dagenham,403002.2922
Barnet,996594.3677
Bexley,1435924.565
Brent,696662.2703
Bromley,804168.459
Camden,714102.6669
City of London,222302.4131
Westminster,1020321.115
Croydon,805460.0361
Ealing,822634.9599
Enfield,1657050.766
Greenwich,626182.5726
Hackney,419137.0236
Hammersmith and Fulham,442383.9892
Haringey,480291.1751
Harrow,511928.9048
Havering,770761.3154
Hillingdon,1819009.563
Hounslow,799400.9184
Islington,433955.3252
Kensington and Chelsea,482200.9252
Kingston,394821.2035
Lambeth,617377.4747
Lewisham,878010.1147
Merton,443607.6134
Newham,760493.8246
Redbridge,617455.7562
Richmond,503206.629
Southwark,596438.701
Sutton,662031.5704
Tower Hamlets,545212.8492
Waltham Forest,499470.9633
Wandsworth,635089.7453
