Year,Net Change Annual Sea Level Change (mm),Net Change in Mass (Gigatonnes/yr)
1993,0,-104.5494
1994,1.3,-195.5413
1995,3,-142.9034
1996,5.7,-59.9941
1997,4.7,-12.2324
1998,5.8,-67.4408
1999,0.2,-95.2343
2000,2.9,-53.6255
2001,4.6,-108.3174
2002,3.7,-158.4765
2003,2.1,-209.4546
2004,2.2,-245.2137
2005,3.8,-250.5223
2006,1.5,-282.247
2007,0.3,-344.9095
2008,5.4,-353.2449
2009,4.9,-344.2414
2010,1.4,-443.2299
2011,-0.3,-504.5213
2012,10.8,-473.2962
2013,2.5,-400.9129
2014,3.4,-372.4069
