Year,tree_cover_loss_ha,tree_cover_loss_from_fires_ha
2001,13354386.47,2505452.973
2002,16452514.7,4559675.676
2003,14475135.26,4478488.665
2004,19908542.17,5394467.849
2005,18097924.5,3899023.168
2006,17649540.82,4151158.825
2007,18387842.29,3946306.514
2008,18610748.23,4242787.757
2009,16991596.31,2867104.999
2010,18553307.75,3646313.682
2011,17579103.16,4178834.719
2012,23531994.33,6679904.78
2013,20642888.76,6978656.747
2014,23732108.67,6414135.891
2015,19622005,5277079.794
2016,29674208.16,9611543.058
2017,29377228.06,7848210.527
2018,24748808.82,6450460.021
2019,24173297.36,7537308.724
2020,25803712.97,8849342.756
2021,25273287.94,9300065.758
