Year,GDP (current US$)
1984,1.22698E+13
1985,1.28601E+13
1986,1.52053E+13
1987,1.73072E+13
1988,1.9338E+13
1989,2.0194E+13
1990,2.278E+13
1991,2.37596E+13
1992,2.54061E+13
1993,2.5822E+13
1994,2.78723E+13
1995,3.10436E+13
1996,3.17367E+13
1997,3.16204E+13
1998,3.154E+13
1999,3.27374E+13
2000,3.38309E+13
2001,3.36154E+13
2002,3.49114E+13
2003,3.9147E+13
2004,4.41176E+13
2005,4.77797E+13
2006,5.17798E+13
2007,5.8355E+13
2008,6.41237E+13
2009,6.08091E+13
2010,6.65961E+13
2011,7.38538E+13
2012,7.54881E+13
2013,7.76072E+13
2014,7.97088E+13
2015,7.51793E+13
2016,7.64656E+13
2017,8.1404E+13
2018,8.6413E+13
2019,8.76529E+13
2020,8.49068E+13
2021,9.61001E+13
